date, value
2019-08-09,0.9397
2019-08-10,0.9397
2019-08-12,0.9285
2019-08-13,0.9267
2019-08-14,0.9240
2019-08-15,0.9187
2019-08-16,0.9131
2019-08-17,0.9131
2019-08-19,0.9139
2019-08-20,0.9123
2019-08-21,0.9145
2019-08-22,0.9045
2019-08-23,0.9155
2019-08-24,0.9155
2019-08-26,0.9081
2019-08-27,0.9028
2019-08-28,0.9072
2019-08-29,0.9076
2019-08-30,0.9056
2019-08-31,0.9056
2019-09-02,0.9089
2019-09-03,0.9076
2019-09-04,0.9010
2019-09-05,0.8952
2019-09-06,0.9065
2019-09-07,0.9065
2019-09-09,0.8948
2019-09-10,0.8944
2019-09-11,0.8930
2019-09-12,0.8966
2019-09-13,0.8921
2019-09-14,0.8921
2019-09-16,0.8855
2019-09-17,0.8856
2019-09-18,0.8841
2019-09-19,0.8820
2019-09-20,0.8833
2019-09-21,0.8833
2019-09-23,0.8841
2019-09-24,0.8821
2019-09-25,0.8860
2019-09-26,0.8860
2019-09-27,0.8902
2019-09-28,0.8902
2019-09-30,0.8868
2019-10-01,0.8897
2019-10-02,0.8912
2019-10-03,0.8894
2019-10-04,0.8903
2019-10-05,0.8903
2019-10-07,0.8930
2019-10-08,0.8965
2019-10-09,0.8993
2019-10-10,0.8853
2019-10-11,0.8723
2019-10-12,0.8723
2019-10-14,0.8749
2019-10-15,0.8646
2019-10-16,0.8640
2019-10-17,0.8638
2019-10-18,0.8598
2019-10-19,0.8598
2019-10-21,0.8599
2019-10-22,0.8637
2019-10-23,0.8620
2019-10-24,0.8646
2019-10-25,0.8638
2019-10-26,0.8638
2019-10-28,0.8633
2019-10-29,0.8638
2019-10-30,0.8645
2019-10-31,0.8624
2019-11-01,0.8648
2019-11-02,0.8648
2019-11-04,0.8634
2019-11-05,0.8600
2019-11-06,0.8612
2019-11-07,0.8624
2019-11-08,0.8625
2019-11-09,0.8625
2019-11-11,0.8581
2019-11-12,0.8570
2019-11-13,0.8565
2019-11-14,0.8556
2019-11-15,0.8566
2019-11-16,0.8564
2019-11-18,0.8547
